accuracy,f1,auc,sensitivity,specificity,brier,ece,model,feature_set,fold
0.8107202680067002,0.11023622047244094,0.5990243004418263,0.0625,0.9835051546391752,0.15076062146596733,0.05872816190914363,K-NN,(b) +spectral,4
0.8206896551724138,0.21212121212121213,0.6673646510393966,0.12389380530973451,0.9892933618843683,0.1434434871523129,0.04062947957450124,SVC-RBF,(b) +spectral,0
0.7832512315270936,0.08333333333333333,0.6808978737807316,0.043478260869565216,1.0,0.16107976026382612,0.03313753600369717,SVC-RBF,(b) +spectral,1
0.8127035830618893,0.08,0.5988023952095809,0.04424778761061947,0.9860279441117764,0.14938649405047777,0.048455218526697943,SVC-RBF,(b) +spectral,2
0.7854785478547854,0.14473684210526316,0.7037247087676273,0.07857142857142857,0.9978540772532188,0.15844657862783854,0.02524447926239325,SVC-RBF,(b) +spectral,3
0.8157453936348409,0.15384615384615385,0.6484351988217967,0.08928571428571429,0.9835051546391752,0.1445954057268753,0.02758827904439584,SVC-RBF,(b) +spectral,4
0.7724137931034483,0.3333333333333333,0.6673930757423585,0.2920353982300885,0.8886509635974305,0.16076114269318106,0.09029506636333876,XGBoost,(b) +spectral,0
0.7865353037766831,0.375,0.7080217852857011,0.2826086956521739,0.9341825902335457,0.1531665772594207,0.05989813017360684,XGBoost,(b) +spectral,1
0.7931596091205212,0.3487179487179487,0.6174730185646407,0.3008849557522124,0.9041916167664671,0.16069909224618378,0.11361020008642043,XGBoost,(b) +spectral,2
0.7986798679867987,0.5,0.765573267933783,0.4357142857142857,0.907725321888412,0.14242491135314217,0.06922930806703104,XGBoost,(b) +spectral,3
0.8006700167504187,0.3769633507853403,0.6797128129602357,0.32142857142857145,0.911340206185567,0.15291120535240837,0.10272489506844901,XGBoost,(b) +spectral,4
0.8051724137931034,0.0,0.6370544427810728,0.0,1.0,0.15703180449096882,0.012728392141697242,GPC,(b) +spectral,0
0.7733990147783252,0.0,0.6712821932982553,0.0,1.0,0.17598037298842728,0.026970380235629948,GPC,(b) +spectral,1
0.8159609120521173,0.0,0.5832052708741808,0.0,1.0,0.15086958593320815,0.02647428398554666,GPC,(b) +spectral,2
0.768976897689769,0.0,0.753648068669528,0.0,1.0,0.1787061505414174,0.03247662897339085,GPC,(b) +spectral,3
0.8123953098827471,0.0,0.6348490427098674,0.0,1.0,0.15288593972229977,0.021835173052941192,GPC,(b) +spectral,4
0.6672413793103448,0.3949843260188088,0.6992287430596349,0.5575221238938053,0.6937901498929336,0.205475684220671,0.24541654420767203,Lasso-LR,(c) +wavelet,0
0.7471264367816092,0.5,0.7354533985661097,0.5579710144927537,0.802547770700637,0.17970396874031888,0.18600158120837582,Lasso-LR,(c) +wavelet,1
0.6661237785016286,0.4057971014492754,0.7064985074099588,0.6194690265486725,0.6766467065868264,0.2102563015220055,0.2636429431605468,Lasso-LR,(c) +wavelet,2
0.6963696369636964,0.5106382978723404,0.7660790925812384,0.6857142857142857,0.6995708154506438,0.1981807509331462,0.23151480805059935,Lasso-LR,(c) +wavelet,3
0.6800670016750419,0.39365079365079364,0.6909977908689249,0.5535714285714286,0.709278350515464,0.20718784229143436,0.2470588097231911,Lasso-LR,(c) +wavelet,4
0.8086206896551724,0.05128205128205128,0.6321843436736087,0.02654867256637168,0.9978586723768736,0.1513273394907447,0.03669498601112588,K-NN,(c) +wavelet,0
0.7799671592775042,0.0821917808219178,0.6581279423982276,0.043478260869565216,0.9957537154989384,0.16793156435521256,0.06852733526499578,K-NN,(c) +wavelet,1
0.8159609120521173,0.12403100775193798,0.5559677105965062,0.07079646017699115,0.9840319361277445,0.15466077073716444,0.08221402582992082,K-NN,(c) +wavelet,2
0.7821782178217822,0.13157894736842105,0.7069129368485592,0.07142857142857142,0.9957081545064378,0.16097129226446347,0.05226850931581527,K-NN,(c) +wavelet,3
0.8140703517587939,0.112,0.6100883652430045,0.0625,0.9876288659793815,0.14942431211919877,0.057272943479042354,K-NN,(c) +wavelet,4
0.8189655172413793,0.1732283464566929,0.6759015368289402,0.09734513274336283,0.9935760171306209,0.14332336742946739,0.04463818311918162,SVC-RBF,(c) +wavelet,0
0.7848932676518884,0.09655172413793103,0.6725591556663282,0.050724637681159424,1.0,0.16164367737462298,0.03389727876270577,SVC-RBF,(c) +wavelet,1
0.8078175895765473,0.078125,0.6060268842845283,0.04424778761061947,0.9800399201596807,0.1485249645814316,0.04848090197154505,SVC-RBF,(c) +wavelet,2
0.7838283828382838,0.15483870967741936,0.7113120784794604,0.08571428571428572,0.9935622317596566,0.15818542596178198,0.025977482704442816,SVC-RBF,(c) +wavelet,3
0.8123953098827471,0.13846153846153847,0.6408873343151694,0.08035714285714286,0.9814432989690721,0.1466388159651979,0.03705197198718197,SVC-RBF,(c) +wavelet,4
